"beta0","beta1","beta2","tau","TIME_PERIOD","Type"
0.52631675817328,-1.09985166597699,-1.82824466389669,44.097066116866,18299,"AAA"
0.537169466909926,-1.10812343835077,-1.84016883417531,44.8849437748384,18302,"AAA"
0.555336233647642,-1.13185003074215,-1.86290426827067,44.9851460641939,18303,"AAA"
0.568072250583077,-1.14618503668722,-1.83986596665331,44.8398405689188,18304,"AAA"
0.542039765486521,-1.12807411458929,-1.78063634417654,45.0105709087857,18305,"AAA"
0.520060987032041,-1.0977995176223,-1.84704238131124,44.3294342837827,18306,"AAA"
0.524101203442287,-1.08998081322526,-1.880484553465,43.5602703207382,18309,"AAA"
0.538410046491089,-1.0962246544646,-1.88892043548036,44.2933973343096,18310,"AAA"
0.527183418620932,-1.08969543592832,-1.86365114313969,44.8629203328129,18311,"AAA"
0.458187392256053,-1.01315046307754,-1.80008868428979,44.5136475317285,18312,"AAA"
0.408663677525365,-0.975035870332902,-1.68695515600163,45.8595405450812,18313,"AAA"
0.376051200027624,-0.968755693602869,-1.71515448630443,44.8872531757465,18316,"AAA"
0.348448755105617,-0.943541609830869,-1.73110845485834,44.0287445324893,18317,"AAA"
0.402856422284852,-1.01789683128798,-1.76153836329679,45.5114158711676,18318,"AAA"
0.34208616595662,-0.981402665888898,-1.82301671387169,44.3326678568175,18319,"AAA"
0.185382228721323,-0.822257103371376,-1.79076880100822,41.8634279672477,18320,"AAA"
0.112970337276374,-0.739299974137618,-1.85318533817927,37.5154139675567,18323,"AAA"
0.173520026194237,-0.780264219847709,-1.84033912248191,39.2460156671167,18324,"AAA"
0.173919750498759,-0.796938465150411,-1.96325144716271,38.6240028689935,18325,"AAA"
0.130900272862678,-0.769113468733463,-1.97069009713563,38.453551904079,18326,"AAA"
0.0104512852739721,-0.672561049327446,-1.82810924819544,40.0164255198144,18327,"AAA"
0.0100000932642131,-0.759865594427049,-2.03978964094017,43.915373390772,18330,"AAA"
-0.246853052136028,-0.460116171493137,-1.54519017809185,32.719789494962,18331,"AAA"
-0.242678292410048,-0.503390331424004,-1.45859678701716,30.5520642249173,18332,"AAA"
-0.257180326403136,-0.502664832122465,-1.53187329271567,26.6840507960558,18333,"AAA"
-0.0563971492725499,-0.695968040325081,-1.50636229676031,25.3278212238562,18334,"AAA"
0.0190638174779789,-0.795409575256554,-1.52241905074081,21.7299405773309,18337,"AAA"
0.0035075516660569,-0.722141106830026,-1.60849402993083,18.8709923964066,18338,"AAA"
0.223025441951761,-0.937741626966145,-1.64503492627506,18.9959800169697,18339,"AAA"
0.332266968068946,-1.06488501564676,-1.23452977598416,23.4467783481821,18340,"AAA"
0.227790990432321,-0.931496778184131,-1.0870681716778,30.1055050389988,18341,"AAA"
0.175787084530965,-0.820493763468103,-1.28718411731949,28.0010782084058,18344,"AAA"
0.257217525100215,-0.880517175478461,-1.17108823467347,33.5979439517224,18345,"AAA"
0.371852760730117,-1.01420690460603,-1.06373802668048,40.7346969343496,18346,"AAA"
0.465484863386794,-1.10277154646454,-1.37121121296212,41.9231147524122,18347,"AAA"
0.328638636542144,-1.00755786268761,-1.43079203770688,42.5256802167297,18348,"AAA"
0.314550910722473,-0.96409023539589,-1.60895084064914,43.1689964596721,18351,"AAA"
0.396642020918707,-1.06011848926344,-1.60788507365854,44.4483557458762,18352,"AAA"
0.372875082606354,-0.985588162446562,-1.54542765984503,42.8736560394806,18353,"AAA"
0.282034997561824,-0.900740921820823,-1.33051683265334,40.6212512172177,18354,"AAA"
0.252945415144563,-0.879247270599122,-1.33633026506638,38.8334152821933,18355,"AAA"
0.304433040650809,-0.875360491510617,-1.50828104821015,36.3635050626138,18358,"AAA"
0.402408025651694,-0.972996197344094,-1.54072599984373,34.5499912254469,18359,"AAA"
0.43111220590231,-1.01571506393904,-1.42474156056057,35.7966545640897,18360,"AAA"
0.394880201048189,-0.97863598066564,-1.39836141506946,36.9940426570102,18361,"AAA"
0.36483392491151,-0.935887799504709,-1.52579253814429,36.7012174448599,18366,"AAA"
0.247381312026785,-0.823856518789649,-1.52466536698137,36.0396369462172,18367,"AAA"
0.20619370962612,-0.799649268253183,-1.35482132428521,37.2395872912999,18368,"AAA"
0.243737818730585,-0.807097248011804,-1.55123100944981,35.6707487013192,18369,"AAA"
0.273387323210769,-0.784856726341454,-1.70043805811508,33.250033142809,18372,"AAA"
0.243196312652684,-0.767616277415256,-1.61176304632658,34.8518605405724,18373,"AAA"
0.279997334977828,-0.810865916649194,-1.58175797110197,34.4450155778634,18374,"AAA"
0.244666932199939,-0.748974422651956,-1.67264739400413,31.4028071167266,18375,"AAA"
0.219076208172102,-0.712988165564738,-1.67942635985307,32.0887667900809,18376,"AAA"
0.244990287128739,-0.730272158818161,-1.64183845183462,34.0086423980543,18379,"AAA"
0.250273094217875,-0.748028928222826,-1.68870765663427,34.9743133616636,18380,"AAA"
0.20562531451082,-0.722241587357199,-1.68665705899143,35.1787218079961,18381,"AAA"
0.16351383453892,-0.624540043689416,-1.90885797129332,33.6530985674489,18382,"AAA"
0.185521626578777,-0.645182940186952,-1.94649997642442,33.2091657026364,18386,"AAA"
0.191744588786201,-0.639640022338274,-2.12987930361097,30.9659329858988,18387,"AAA"
0.258228285100967,-0.730708941426102,-2.04430150094658,33.1126408471237,18388,"AAA"
0.283697163077441,-0.758496424366236,-2.06639071184964,33.8791199755825,18389,"AAA"
0.254678184623799,-0.704643537814152,-2.1858891536249,31.1866212003891,18390,"AAA"
0.281254955875959,-0.742027266503122,-2.08171949103552,33.4581250699855,18393,"AAA"
0.282153094272535,-0.760243174840286,-1.91765844771779,34.4422935547784,18394,"AAA"
0.22439403998145,-0.699993362957757,-1.91092044569896,34.0122884552314,18395,"AAA"
0.234717646261394,-0.749703575432335,-1.88903528846011,36.1831680943628,18396,"AAA"
0.189142713540401,-0.684302273094916,-1.87739335722602,34.783266797059,18397,"AAA"
0.266636221829904,-0.780802865136073,-1.84606586534523,36.0043120608133,18400,"AAA"
0.30325963879217,-0.814359833778947,-1.70905631240393,37.6514268540989,18401,"AAA"
0.310287832838587,-0.834440680471724,-1.69219505879348,40.0299889270212,18402,"AAA"
0.269539571475329,-0.78255416536039,-1.71751712696028,37.9189535708503,18403,"AAA"
0.301394977217546,-0.843210050925703,-1.66851618284451,39.5791669298241,18404,"AAA"
0.286119076594415,-0.807838766966877,-1.69412382131329,38.9534957669726,18407,"AAA"
0.358195302561572,-0.896801836282453,-1.57232259255931,40.807879868827,18408,"AAA"
0.38672706735592,-0.930913325580703,-1.57272607546434,40.8132426870552,18409,"AAA"
0.374459462389636,-0.89979211746572,-1.6345167072082,40.0267389709172,18410,"AAA"
0.343836459842679,-0.871143914033986,-1.657981206212,39.1896478002817,18411,"AAA"
0.424075270150627,-0.960821946764454,-1.73033869927192,38.540334384278,18414,"AAA"
0.40028383137987,-0.917937021670853,-1.81578152101163,36.8796253295057,18415,"AAA"
0.425689210992197,-0.947498574054427,-1.71396703108664,36.7470044389088,18416,"AAA"
0.54754973367601,-1.08425898757235,-1.7856682755281,38.4148974520221,18417,"AAA"
0.628093836743168,-1.16467934000621,-1.796252449476,38.9764254643599,18418,"AAA"
0.58435084661674,-1.09387305631677,-1.90175443154013,38.1720813693699,18421,"AAA"
0.504482022610206,-1.0140989519423,-1.79886501181654,37.2270917517436,18422,"AAA"
0.567325690705743,-1.07569177131254,-1.85696034976034,39.2047895007962,18423,"AAA"
0.419901059723722,-0.922866624857183,-1.84223933638065,38.0418899527827,18424,"AAA"
0.4123681347111,-0.913483627343465,-1.90167715393326,37.6197191080558,18425,"AAA"
0.392186387856526,-0.890028965598834,-1.91390840064467,37.8702285210822,18428,"AAA"
0.447788111043674,-0.952388427961108,-1.89418024847685,39.2411257940132,18429,"AAA"
0.410365628522076,-0.902770627989059,-1.91096643361622,38.1870753818542,18430,"AAA"
0.37070326752536,-0.877321042760168,-1.83407325891773,38.6037166121224,18431,"AAA"
0.358784343357418,-0.876319720038681,-1.82120196235695,38.5191640178868,18432,"AAA"
0.341951591750765,-0.848783853087937,-1.93926058840222,38.2580256981216,18435,"AAA"
0.402775484267914,-0.922955136283854,-1.88065103473244,39.9431577734169,18436,"AAA"
0.39237349149277,-0.920114610326917,-1.82493350775997,39.7876352853085,18437,"AAA"
0.351533746129137,-0.891719483673265,-1.89783187008524,39.9429905282492,18438,"AAA"
0.310916488279636,-0.851095831600362,-1.85310026305077,38.4200236663247,18439,"AAA"
0.357144188465662,-0.886155027055194,-1.9244962958659,38.7962204126844,18442,"AAA"
0.323061349663226,-0.847977035889841,-1.91424710501627,39.7221688908714,18443,"AAA"
0.43393073771261,-0.972520096071493,-1.8269460789559,40.39522958616,18444,"AAA"
0.433908230842662,-0.972585217892074,-1.90960898411389,40.399462662737,18445,"AAA"
0.420074994163214,-0.956114425067844,-1.94081696226893,40.1845484906278,18446,"AAA"
0.422173189298983,-0.957439932541212,-1.92035994919552,40.0850005563323,18449,"AAA"
0.387250074841509,-0.92092532144587,-1.85547048453531,39.8567457937764,18450,"AAA"
0.336658529882519,-0.865641771157992,-1.79697386946188,39.0541910499421,18451,"AAA"
0.336942754475221,-0.869811405901648,-1.81829483542117,40.076413338557,18452,"AAA"
0.270461613845776,-0.809147053559084,-1.79369396812265,39.0388824315688,18453,"AAA"
0.359603176606407,-0.914068553452946,-1.69986711881698,40.5980502518495,18456,"AAA"
0.320647722523623,-0.872581874488475,-1.68867773571554,40.7886963326228,18457,"AAA"
0.332136872237858,-0.881574611444964,-1.74998380546811,38.8699130827243,18458,"AAA"
0.319813304155007,-0.878168252349808,-1.73642522796775,41.4386766813324,18459,"AAA"
0.329760161108934,-0.882917508749988,-1.76460606425258,41.016281655856,18460,"AAA"
0.29599014035098,-0.846245711568632,-1.73530658016974,41.2843726985383,18463,"AAA"
